plant	treatment	period	ER	AR	ESR	EE
VE01MS	sucrose	daytime	0.13	1.00	0.50	0.07
VE01MS	sucrose	daytime	0.53	0.50	0.25	0.07
VE01MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE01MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE01MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE01MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE01MS	sucrose	nighttime	0.20	0.00	0.00	0.00
VE01MS	sucrose	nighttime	0.20	1.00	0.50	0.10
VE02MS	sucrose	daytime	0.20	0.00	0.00	0.00
VE02MS	sucrose	daytime	0.20	1.00	1.00	0.20
VE02MS	sucrose	daytime	0.05	1.00	0.00	0.00
VE02MS	sucrose	daytime	0.20	1.00	0.50	0.10
VE02MS	sucrose	nighttime	0.40	0.50	1.00	0.20
VE02MS	sucrose	nighttime	0.25	0.20	0.00	0.00
VE02MS	sucrose	nighttime	0.05	0.00	0.00	0.00
VE02MS	sucrose	nighttime	0.10	1.00	1.00	0.10
VE03MS	sucrose	daytime	0.73	0.45	0.20	0.07
VE03MS	sucrose	daytime	0.10	0.00	0.00	0.00
VE03MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE03MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE03MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE03MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE03MS	sucrose	nighttime	0.20	0.50	1.00	0.10
VE03MS	sucrose	nighttime	0.10	0.67	0.00	0.00
VE04MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE04MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE04MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE04MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE04MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE04MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE04MS	sucrose	nighttime	0.07	0.00	0.00	0.00
VE04MS	sucrose	nighttime	0.03	0.00	0.00	0.00
VE05MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE05MS	sucrose	daytime	0.27	0.00	0.00	0.00
VE05MS	sucrose	daytime	0.04	0.00	0.00	0.00
VE05MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE05MS	sucrose	nighttime	0.50	0.00	0.00	0.00
VE05MS	sucrose	nighttime	0.60	0.11	1.00	0.07
VE05MS	sucrose	nighttime	0.13	0.50	1.00	0.07
VE05MS	sucrose	nighttime	0.20	1.00	0.50	0.10
VE06MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE06MS	sucrose	daytime	0.13	0.00	0.00	0.00
VE06MS	sucrose	daytime	0.20	0.00	0.00	0.00
VE06MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE06MS	sucrose	nighttime	0.13	1.00	0.50	0.07
VE06MS	sucrose	nighttime	0.25	0.20	1.00	0.05
VE06MS	sucrose	nighttime	0.10	0.00	0.00	0.00
VE06MS	sucrose	nighttime	0.04	0.00	0.00	0.00
VE07MS	sucrose	daytime	0.30	0.33	1.00	0.00
VE07MS	sucrose	daytime	1.10	0.64	0.14	0.00
VE07MS	sucrose	daytime	0.80	0.75	0.33	0.20
VE07MS	sucrose	daytime	0.60	0.67	0.50	0.20
VE07MS	sucrose	nighttime	0.00	0.00	0.00	0.10
VE07MS	sucrose	nighttime	0.00	0.00	0.00	0.10
VE07MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE07MS	sucrose	nighttime	0.10	0.00	0.00	0.00
VE08MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE08MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE08MS	sucrose	daytime	0.40	0.50	1.00	0.20
VE08MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE08MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE08MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE08MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE08MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE09MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE09MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE09MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE09MS	sucrose	daytime	0.00	0.00	0.00	0.00
VE09MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE09MS	sucrose	nighttime	0.00	0.00	0.00	0.00
VE09MS	sucrose	nighttime	0.05	0.00	0.00	0.00
VE09MS	sucrose	nighttime	0.03	0.00	0.00	0.00
VE10MS	sucrose	daytime	0.00	0.00	0.00	0.00
