plant	treatment	period	MTE 	M.abund	Obs.T	T.exc.
VE01MS	sucrose	daytime	6	7	15	1
VE01MS	sucrose	daytime	11	6	15	1
VE01MS	sucrose	daytime	30	7	10	0
VE01MS	sucrose	daytime	30	5	15	0
VE01MS	sucrose	nighttime	30	2	10	0
VE01MS	sucrose	nighttime	30	4	15	0
VE01MS	sucrose	nighttime	1	12	10	0
VE01MS	sucrose	nighttime	6	12	10	1
VE02MS	sucrose	daytime	6	7	10	0
VE02MS	sucrose	daytime	1	9	5	1
VE02MS	sucrose	daytime	11	5	20	0
VE02MS	sucrose	daytime	6	4	10	1
VE02MS	sucrose	nighttime	1	18	5	1
VE02MS	sucrose	nighttime	1	9	20	0
VE02MS	sucrose	nighttime	6	7	20	0
VE02MS	sucrose	nighttime	6	8	10	1
VE03MS	sucrose	daytime	1	6	15	1
VE03MS	sucrose	daytime	1	7	10	0
VE03MS	sucrose	daytime	30	2	25	0
VE03MS	sucrose	daytime	30	3	15	0
VE03MS	sucrose	nighttime	30	10	10	0
VE03MS	sucrose	nighttime	30	9	10	0
VE03MS	sucrose	nighttime	6	20	10	1
VE03MS	sucrose	nighttime	1	16	30	0
VE04MS	sucrose	daytime	30	1	25	0
VE04MS	sucrose	daytime	30	2	20	0
VE04MS	sucrose	daytime	30	2	20	0
VE04MS	sucrose	daytime	30	2	25	0
VE04MS	sucrose	nighttime	30	1	10	0
VE04MS	sucrose	nighttime	30	1	10	0
VE04MS	sucrose	nighttime	11	4	30	0
VE04MS	sucrose	nighttime	21	5	30	0
VE05MS	sucrose	daytime	30	10	15	0
VE05MS	sucrose	daytime	1	1	15	0
VE05MS	sucrose	daytime	16	4	25	0
VE05MS	sucrose	daytime	30	4	20	0
VE05MS	sucrose	nighttime	1	22	10	0
VE05MS	sucrose	nighttime	1	19	15	1
VE05MS	sucrose	nighttime	1	26	15	1
VE05MS	sucrose	nighttime	6	27	10	1
VE06MS	sucrose	daytime	30	14	10	0
VE06MS	sucrose	daytime	6	16	16	0
VE06MS	sucrose	daytime	1	5	10	0
VE06MS	sucrose	daytime	30	4	15	0
VE06MS	sucrose	nighttime	11	18	15	1
VE06MS	sucrose	nighttime	1	15	20	1
