plant	treatment	period	Obs.T	T.exc.
VE01MS	sucrose	daytime	15	1
VE01MS	sucrose	daytime	15	1
VE01MS	sucrose	daytime	10	0
VE01MS	sucrose	daytime	15	0
VE01MS	sucrose	nighttime	10	0
VE01MS	sucrose	nighttime	15	0
VE01MS	sucrose	nighttime	10	0
VE01MS	sucrose	nighttime	10	1
VE02MS	sucrose	daytime	10	0
VE02MS	sucrose	daytime	5	1
VE02MS	sucrose	daytime	20	0
VE02MS	sucrose	daytime	10	1
VE02MS	sucrose	nighttime	5	1
VE02MS	sucrose	nighttime	20	0
VE02MS	sucrose	nighttime	20	0
VE02MS	sucrose	nighttime	10	1
VE03MS	sucrose	daytime	15	1
VE03MS	sucrose	daytime	10	0
VE03MS	sucrose	daytime	25	0
VE03MS	sucrose	daytime	15	0
VE03MS	sucrose	nighttime	10	0
VE03MS	sucrose	nighttime	10	0
VE03MS	sucrose	nighttime	10	1
VE03MS	sucrose	nighttime	30	0
VE04MS	sucrose	daytime	25	0
VE04MS	sucrose	daytime	20	0
VE04MS	sucrose	daytime	20	0
VE04MS	sucrose	daytime	25	0
VE04MS	sucrose	nighttime	10	0
VE04MS	sucrose	nighttime	10	0
VE04MS	sucrose	nighttime	30	0
VE04MS	sucrose	nighttime	30	0
VE05MS	sucrose	daytime	15	0
VE05MS	sucrose	daytime	15	0
VE05MS	sucrose	daytime	25	0
VE05MS	sucrose	daytime	20	0
VE05MS	sucrose	nighttime	10	0
VE05MS	sucrose	nighttime	15	1
VE05MS	sucrose	nighttime	15	1
VE05MS	sucrose	nighttime	10	1
VE06MS	sucrose	daytime	10	0
VE06MS	sucrose	daytime	16	0
VE06MS	sucrose	daytime	10	0
VE06MS	sucrose	daytime	15	0
VE06MS	sucrose	nighttime	15	1
VE06MS	sucrose	nighttime	20	1
VE06MS	sucrose	nighttime	10	0
VE06MS	sucrose	nighttime	25	0
VE07MS	sucrose	daytime	25	0
VE07MS	sucrose	daytime	25	0
VE07MS	sucrose	daytime	5	1
VE07MS	sucrose	daytime	5	1
VE07MS	sucrose	nighttime	10	1
VE07MS	sucrose	nighttime	10	1
VE07MS	sucrose	nighttime	10	0
VE07MS	sucrose	nighttime	10	0
VE08MS	sucrose	daytime	15	0
VE08MS	sucrose	daytime	10	0
VE08MS	sucrose	daytime	5	1
VE08MS	sucrose	daytime	10	0
VE08MS	sucrose	nighttime	15	0
VE08MS	sucrose	nighttime	15	0
VE08MS	sucrose	nighttime	10	0
VE08MS	sucrose	nighttime	10	0
VE09MS	sucrose	daytime	30	0
VE09MS	sucrose	daytime	15	0
VE09MS	sucrose	daytime	15	0
VE09MS	sucrose	daytime	15	0
VE09MS	sucrose	nighttime	15	0
VE09MS	sucrose	nighttime	15	0
VE09MS	sucrose	nighttime	20	0
VE09MS	sucrose	nighttime	30	0
VE10MS	sucrose	daytime	15	0
VE10MS	sucrose	daytime	15	0
VE10MS	sucrose	daytime	10	1
VE10MS	sucrose	daytime	10	0
VE10MS	sucrose	nighttime	15	0
VE10MS	sucrose	nighttime	5	1
VE10MS	sucrose	nighttime	10	1
VE10MS	sucrose	nighttime	15	0
VE01MSA	sucrose_amino	daytime	20	0
VE01MSA	sucrose_amino	daytime	20	1
VE01MSA	sucrose_amino	daytime	5	1
VE01MSA	sucrose_amino	daytime	15	0
VE01MSA	sucrose_amino	nighttime	20	1
VE01MSA	sucrose_amino	nighttime	25	0
VE01MSA	sucrose_amino	nighttime	10	1
VE01MSA	sucrose_amino	nighttime	10	0
VE02MSA	sucrose_amino	daytime	15	1
VE02MSA	sucrose_amino	daytime	20	0
VE02MSA	sucrose_amino	daytime	10	0
VE02MSA	sucrose_amino	daytime	20	0
VE02MSA	sucrose_amino	nighttime	5	1
VE02MSA	sucrose_amino	nighttime	5	1
VE02MSA	sucrose_amino	nighttime	15	1
VE02MSA	sucrose_amino	nighttime	15	0
VE03MSA	sucrose_amino	daytime	10	0
VE03MSA	sucrose_amino	daytime	10	0
VE03MSA	sucrose_amino	daytime	10	0
VE03MSA	sucrose_amino	daytime	10	0
VE03MSA	sucrose_amino	nighttime	5	0
VE03MSA	sucrose_amino	nighttime	20	0
VE03MSA	sucrose_amino	nighttime	15	0
VE03MSA	sucrose_amino	nighttime	10	0
VE04MSA	sucrose_amino	daytime	5	1
VE04MSA	sucrose_amino	daytime	10	1
VE04MSA	sucrose_amino	daytime	15	1
VE04MSA	sucrose_amino	daytime	10	1
VE04MSA	sucrose_amino	nighttime	5	1
VE04MSA	sucrose_amino	nighttime	5	1
VE04MSA	sucrose_amino	nighttime	20	0
VE04MSA	sucrose_amino	nighttime	15	0
VE05MSA	sucrose_amino	daytime	5	1
VE05MSA	sucrose_amino	daytime	15	1
VE05MSA	sucrose_amino	daytime	15	0
VE05MSA	sucrose_amino	daytime	15	0
VE05MSA	sucrose_amino	nighttime	20	0
VE05MSA	sucrose_amino	nighttime	20	1
VE05MSA	sucrose_amino	nighttime	20	0
VE05MSA	sucrose_amino	nighttime	15	0
VE06MSA	sucrose_amino	daytime	10	0
VE06MSA	sucrose_amino	daytime	20	0
VE06MSA	sucrose_amino	daytime	10	1
VE06MSA	sucrose_amino	daytime	15	0
VE06MSA	sucrose_amino	nighttime	5	1
VE06MSA	sucrose_amino	nighttime	15	0
VE06MSA	sucrose_amino	nighttime	15	0
VE06MSA	sucrose_amino	nighttime	10	0
VE07MSA	sucrose_amino	daytime	10	0
VE07MSA	sucrose_amino	daytime	15	1
VE07MSA	sucrose_amino	daytime	5	1
VE07MSA	sucrose_amino	daytime	10	1
VE07MSA	sucrose_amino	nighttime	10	0
VE07MSA	sucrose_amino	nighttime	10	1
VE07MSA	sucrose_amino	nighttime	10	1
VE07MSA	sucrose_amino	nighttime	15	0
VE08MSA	sucrose_amino	daytime	10	1
VE08MSA	sucrose_amino	daytime	10	1
VE08MSA	sucrose_amino	daytime	5	1
VE08MSA	sucrose_amino	daytime	15	1
VE08MSA	sucrose_amino	nighttime	15	1
VE08MSA	sucrose_amino	nighttime	10	1
VE08MSA	sucrose_amino	nighttime	10	1
VE08MSA	sucrose_amino	nighttime	5	1
VE09MSA	sucrose_amino	daytime	5	1
VE09MSA	sucrose_amino	daytime	10	1
VE09MSA	sucrose_amino	daytime	10	0
VE09MSA	sucrose_amino	daytime	10	0
VE09MSA	sucrose_amino	nighttime	5	1
VE09MSA	sucrose_amino	nighttime	15	0
VE09MSA	sucrose_amino	nighttime	5	1
VE09MSA	sucrose_amino	nighttime	5	1
VE10MSA	sucrose_amino	daytime	5	1
VE10MSA	sucrose_amino	daytime	15	1
VE10MSA	sucrose_amino	daytime	15	0
VE10MSA	sucrose_amino	daytime	20	0
VE10MSA	sucrose_amino	nighttime	10	1
VE10MSA	sucrose_amino	nighttime	5	1
VE10MSA	sucrose_amino	nighttime	5	1
VE10MSA	sucrose_amino	nighttime	10	1
VE01MA	amino	daytime	10	0
VE01MA	amino	daytime	30	0
VE01MA	amino	daytime	15	0
VE01MA	amino	daytime	20	0
VE01MA	amino	nighttime	5	0
VE01MA	amino	nighttime	30	0
VE01MA	amino	nighttime	5	1
VE01MA	amino	nighttime	5	1
VE02MA	amino	daytime	20	0
VE02MA	amino	daytime	15	0
VE02MA	amino	daytime	15	1
VE02MA	amino	daytime	10	1
VE02MA	amino	nighttime	15	0
VE02MA	amino	nighttime	5	0
VE02MA	amino	nighttime	10	0
VE02MA	amino	nighttime	15	0
VE03MA	amino	daytime	5	1
VE03MA	amino	daytime	10	0
VE03MA	amino	daytime	10	0
VE03MA	amino	daytime	10	0
VE03MA	amino	nighttime	10	0
VE03MA	amino	nighttime	10	0
VE03MA	amino	nighttime	20	1
VE03MA	amino	nighttime	20	0
VE04MA	amino	daytime	5	1
VE04MA	amino	daytime	15	0
VE04MA	amino	daytime	30	0
VE04MA	amino	daytime	30	0
VE04MA	amino	nighttime	20	0
VE04MA	amino	nighttime	10	1
VE04MA	amino	nighttime	20	0
VE04MA	amino	nighttime	10	0
VE05MA	amino	daytime	10	0
VE05MA	amino	daytime	5	0
VE05MA	amino	daytime	10	0
VE05MA	amino	daytime	15	0
VE05MA	amino	nighttime	15	0
VE05MA	amino	nighttime	20	0
VE05MA	amino	nighttime	20	0
VE05MA	amino	nighttime	15	0
VE06MA	amino	daytime	15	0
VE06MA	amino	daytime	15	0
VE06MA	amino	daytime	10	1
VE06MA	amino	daytime	10	0
VE06MA	amino	nighttime	20	0
VE06MA	amino	nighttime	20	0
VE06MA	amino	nighttime	15	0
VE06MA	amino	nighttime	5	1
VE07MA	amino	daytime	15	0
VE07MA	amino	daytime	15	0
VE07MA	amino	daytime	5	1
VE07MA	amino	daytime	15	1
VE07MA	amino	nighttime	15	0
VE07MA	amino	nighttime	15	0
VE07MA	amino	nighttime	15	0
VE07MA	amino	nighttime	15	0
VE08MA	amino	daytime	10	0
VE08MA	amino	daytime	15	0
VE08MA	amino	daytime	20	0
VE08MA	amino	daytime	10	0
VE08MA	amino	nighttime	20	0
VE08MA	amino	nighttime	10	1
VE08MA	amino	nighttime	15	0
VE08MA	amino	nighttime	15	1
VE09MA	amino	daytime	15	0
VE09MA	amino	daytime	15	0
VE09MA	amino	daytime	15	0
VE09MA	amino	daytime	15	0
VE09MA	amino	nighttime	15	0
VE09MA	amino	nighttime	20	0
VE09MA	amino	nighttime	5	1
VE09MA	amino	nighttime	15	0
VE10MA	amino	daytime	10	0
VE10MA	amino	daytime	20	0
VE10MA	amino	daytime	15	0
VE10MA	amino	daytime	15	0
VE10MA	amino	nighttime	15	1
VE10MA	amino	nighttime	30	0
VE10MA	amino	nighttime	10	1
VE10MA	amino	nighttime	15	0
VE01MW	water	daytime	10	0
VE01MW	water	daytime	15	1
VE01MW	water	daytime	10	0
VE01MW	water	daytime	10	0
VE01MW	water	nighttime	5	1
VE01MW	water	nighttime	10	0
VE01MW	water	nighttime	15	0
VE01MW	water	nighttime	15	0
VE02MW	water	daytime	5	1
VE02MW	water	daytime	10	0
VE02MW	water	daytime	10	0
VE02MW	water	daytime	10	0
VE02MW	water	nighttime	5	0
VE02MW	water	nighttime	20	0
VE02MW	water	nighttime	20	0
VE02MW	water	nighttime	20	0
VE03MW	water	daytime	10	0
VE03MW	water	daytime	15	0
VE03MW	water	daytime	15	0
VE03MW	water	daytime	10	0
VE03MW	water	nighttime	10	0
VE03MW	water	nighttime	10	0
VE03MW	water	nighttime	20	0
VE03MW	water	nighttime	25	0
VE04MW	water	daytime	15	0
VE04MW	water	daytime	30	0
VE04MW	water	daytime	15	0
VE04MW	water	daytime	30	0
VE04MW	water	nighttime	20	0
VE04MW	water	nighttime	15	0
VE04MW	water	nighttime	15	0
VE04MW	water	nighttime	15	0
VE05MW	water	daytime	10	0
VE05MW	water	daytime	20	0
VE05MW	water	daytime	20	0
VE05MW	water	daytime	20	0
